"fiscal_year","prior_subject","ms_outcome","n_teachers","teachers_before","rate_pct"
"2020","Middle School Mathematics","Moved to elementary",78,2254,3.5
"2020","Middle School Mathematics","Taught a non-core subject",56,2254,2.5
"2020","Middle School Mathematics","Switcher",65,2254,2.9
"2020","Middle School Mathematics","Exiter",158,2254,7
"2020","Middle School Science","Same MS subject",1523,2131,71.5
"2020","Middle School Science","Switched within middle school",186,2131,8.7
"2020","Middle School Science","Moved to secondary",62,2131,2.9
"2020","Middle School Science","Moved to elementary",88,2131,4.1
"2020","Middle School Science","Taught a non-core subject",67,2131,3.1
"2020","Middle School Science","Switcher",46,2131,2.2
"2020","Middle School Science","Exiter",159,2131,7.5
"2020","Middle School Social Studies","Same MS subject",1625,2401,67.7
"2020","Middle School Social Studies","Switched within middle school",267,2401,11.1
"2020","Middle School Social Studies","Moved to secondary",60,2401,2.5
"2020","Middle School Social Studies","Moved to elementary",97,2401,4
"2020","Middle School Social Studies","Taught a non-core subject",95,2401,4
"2020","Middle School Social Studies","Switcher",65,2401,2.7
"2020","Middle School Social Studies","Exiter",192,2401,8
"2021","Middle School English Language Arts","Same MS subject",1844,2517,73.3
"2021","Middle School English Language Arts","Switched within middle school",144,2517,5.7
"2021","Middle School English Language Arts","Moved to secondary",95,2517,3.8
"2021","Middle School English Language Arts","Moved to elementary",110,2517,4.4
"2021","Middle School English Language Arts","Taught a non-core subject",58,2517,2.3
"2021","Middle School English Language Arts","Switcher",73,2517,2.9
"2021","Middle School English Language Arts","Exiter",193,2517,7.7
"2021","Middle School Mathematics","Same MS subject",1663,2239,74.3
"2021","Middle School Mathematics","Switched within middle school",113,2239,5
"2021","Middle School Mathematics","Moved to secondary",80,2239,3.6
"2021","Middle School Mathematics","Moved to elementary",84,2239,3.8
"2021","Middle School Mathematics","Taught a non-core subject",61,2239,2.7
"2021","Middle School Mathematics","Switcher",56,2239,2.5
"2021","Middle School Mathematics","Exiter",182,2239,8.1
"2021","Middle School Science","Same MS subject",1573,2161,72.8
"2021","Middle School Science","Switched within middle school",157,2161,7.3
"2021","Middle School Science","Moved to secondary",64,2161,3
"2021","Middle School Science","Moved to elementary",86,2161,4
"2021","Middle School Science","Taught a non-core subject",66,2161,3.1
"2021","Middle School Science","Switcher",45,2161,2.1
"2021","Middle School Science","Exiter",170,2161,7.9
"2021","Middle School Social Studies","Same MS subject",1708,2443,69.9
"2021","Middle School Social Studies","Switched within middle school",223,2443,9.1
"2021","Middle School Social Studies","Moved to secondary",76,2443,3.1
"2021","Middle School Social Studies","Moved to elementary",97,2443,4
"2021","Middle School Social Studies","Taught a non-core subject",70,2443,2.9
"2021","Middle School Social Studies","Switcher",56,2443,2.3
"2021","Middle School Social Studies","Exiter",213,2443,8.7
"2022","Middle School English Language Arts","Same MS subject",1819,2647,68.7
"2022","Middle School English Language Arts","Switched within middle school",178,2647,6.7
"2022","Middle School English Language Arts","Moved to secondary",100,2647,3.8
"2022","Middle School English Language Arts","Moved to elementary",137,2647,5.2
"2022","Middle School English Language Arts","Taught a non-core subject",90,2647,3.4
"2022","Middle School English Language Arts","Switcher",114,2647,4.3
"2022","Middle School English Language Arts","Exiter",209,2647,7.9
"2022","Middle School Mathematics","Same MS subject",1667,2372,70.3
"2022","Middle School Mathematics","Switched within middle school",141,2372,5.9
"2022","Middle School Mathematics","Moved to secondary",73,2372,3.1
"2022","Middle School Mathematics","Moved to elementary",119,2372,5
"2022","Middle School Mathematics","Taught a non-core subject",80,2372,3.4
"2022","Middle School Mathematics","Switcher",118,2372,5
"2022","Middle School Mathematics","Exiter",174,2372,7.3
"2022","Middle School Science","Same MS subject",1551,2335,66.4
"2022","Middle School Science","Switched within middle school",223,2335,9.6
"2022","Middle School Science","Moved to secondary",95,2335,4.1
"2022","Middle School Science","Moved to elementary",111,2335,4.8
"2022","Middle School Science","Taught a non-core subject",87,2335,3.7
"2022","Middle School Science","Switcher",97,2335,4.2
"2022","Middle School Science","Exiter",171,2335,7.3
"2022","Middle School Social Studies","Same MS subject",1710,2646,64.6
"2022","Middle School Social Studies","Switched within middle school",288,2646,10.9
"2022","Middle School Social Studies","Moved to secondary",95,2646,3.6
"2022","Middle School Social Studies","Moved to elementary",118,2646,4.5
"2022","Middle School Social Studies","Taught a non-core subject",121,2646,4.6
"2022","Middle School Social Studies","Switcher",112,2646,4.2
"2022","Middle School Social Studies","Exiter",202,2646,7.6
"2023","Middle School English Language Arts","Same MS subject",1806,2684,67.3
"2023","Middle School English Language Arts","Switched within middle school",155,2684,5.8
"2023","Middle School English Language Arts","Moved to secondary",130,2684,4.8
"2023","Middle School English Language Arts","Moved to elementary",135,2684,5
"2023","Middle School English Language Arts","Taught a non-core subject",95,2684,3.5
"2023","Middle School English Language Arts","Switcher",118,2684,4.4
"2023","Middle School English Language Arts","Exiter",245,2684,9.1
"2023","Middle School Mathematics","Same MS subject",1639,2362,69.4
"2023","Middle School Mathematics","Switched within middle school",132,2362,5.6
"2023","Middle School Mathematics","Moved to secondary",97,2362,4.1
"2023","Middle School Mathematics","Moved to elementary",97,2362,4.1
"2023","Middle School Mathematics","Taught a non-core subject",96,2362,4.1
"2023","Middle School Mathematics","Switcher",88,2362,3.7
"2023","Middle School Mathematics","Exiter",213,2362,9
"2023","Middle School Science","Same MS subject",1483,2241,66.2
"2023","Middle School Science","Switched within middle school",179,2241,8
"2023","Middle School Science","Moved to secondary",91,2241,4.1
"2023","Middle School Science","Moved to elementary",100,2241,4.5
"2023","Middle School Science","Taught a non-core subject",92,2241,4.1
"2023","Middle School Science","Switcher",70,2241,3.1
"2023","Middle School Science","Exiter",226,2241,10.1
"2023","Middle School Social Studies","Same MS subject",1657,2546,65.1
"2023","Middle School Social Studies","Switched within middle school",247,2546,9.7
"2023","Middle School Social Studies","Moved to secondary",96,2546,3.8
"2023","Middle School Social Studies","Moved to elementary",122,2546,4.8
"2023","Middle School Social Studies","Taught a non-core subject",109,2546,4.3
"2023","Middle School Social Studies","Switcher",92,2546,3.6
"2023","Middle School Social Studies","Exiter",223,2546,8.8
"2024","Middle School English Language Arts","Same MS subject",1776,2661,66.7
"2024","Middle School English Language Arts","Switched within middle school",163,2661,6.1
"2024","Middle School English Language Arts","Moved to secondary",120,2661,4.5
"2024","Middle School English Language Arts","Moved to elementary",129,2661,4.8
"2024","Middle School English Language Arts","Taught a non-core subject",95,2661,3.6
"2024","Middle School English Language Arts","Switcher",111,2661,4.2
"2024","Middle School English Language Arts","Exiter",267,2661,10
"2024","Middle School Mathematics","Same MS subject",1565,2308,67.8
"2024","Middle School Mathematics","Switched within middle school",140,2308,6.1
"2024","Middle School Mathematics","Moved to secondary",95,2308,4.1
"2024","Middle School Mathematics","Moved to elementary",100,2308,4.3
"2024","Middle School Mathematics","Taught a non-core subject",75,2308,3.2
"2024","Middle School Mathematics","Switcher",104,2308,4.5
"2024","Middle School Mathematics","Exiter",229,2308,9.9
"2024","Middle School Science","Same MS subject",1463,2218,66
"2024","Middle School Science","Switched within middle school",197,2218,8.9
"2024","Middle School Science","Moved to secondary",95,2218,4.3
"2024","Middle School Science","Moved to elementary",106,2218,4.8
"2024","Middle School Science","Taught a non-core subject",74,2218,3.3
"2024","Middle School Science","Switcher",72,2218,3.2
"2024","Middle School Science","Exiter",211,2218,9.5
"2024","Middle School Social Studies","Same MS subject",1571,2502,62.8
"2024","Middle School Social Studies","Switched within middle school",271,2502,10.8
"2024","Middle School Social Studies","Moved to secondary",95,2502,3.8
"2024","Middle School Social Studies","Moved to elementary",119,2502,4.8
"2024","Middle School Social Studies","Taught a non-core subject",102,2502,4.1
"2024","Middle School Social Studies","Switcher",104,2502,4.2
"2024","Middle School Social Studies","Exiter",240,2502,9.6
"2025","Middle School English Language Arts","Same MS subject",1745,2584,67.5
"2025","Middle School English Language Arts","Switched within middle school",136,2584,5.3
"2025","Middle School English Language Arts","Moved to secondary",101,2584,3.9
"2025","Middle School English Language Arts","Moved to elementary",118,2584,4.6
"2025","Middle School English Language Arts","Taught a non-core subject",112,2584,4.3
"2025","Middle School English Language Arts","Switcher",101,2584,3.9
"2025","Middle School English Language Arts","Exiter",271,2584,10.5
"2025","Middle School Mathematics","Same MS subject",1523,2236,68.1
"2025","Middle School Mathematics","Switched within middle school",139,2236,6.2
"2025","Middle School Mathematics","Moved to secondary",98,2236,4.4
"2025","Middle School Mathematics","Moved to elementary",79,2236,3.5
"2025","Middle School Mathematics","Taught a non-core subject",81,2236,3.6
"2025","Middle School Mathematics","Switcher",83,2236,3.7
"2025","Middle School Mathematics","Exiter",233,2236,10.4
"2025","Middle School Science","Same MS subject",1433,2146,66.8
"2025","Middle School Science","Switched within middle school",179,2146,8.3
"2025","Middle School Science","Moved to secondary",82,2146,3.8
"2025","Middle School Science","Moved to elementary",89,2146,4.1
"2025","Middle School Science","Taught a non-core subject",80,2146,3.7
"2025","Middle School Science","Switcher",60,2146,2.8
"2025","Middle School Science","Exiter",223,2146,10.4
"2025","Middle School Social Studies","Same MS subject",1512,2362,64
"2025","Middle School Social Studies","Switched within middle school",236,2362,10
"2025","Middle School Social Studies","Moved to secondary",88,2362,3.7
"2025","Middle School Social Studies","Moved to elementary",97,2362,4.1
"2025","Middle School Social Studies","Taught a non-core subject",100,2362,4.2
"2025","Middle School Social Studies","Switcher",77,2362,3.3
"2025","Middle School Social Studies","Exiter",252,2362,10.7
"2026","Middle School English Language Arts","Same MS subject",1768,2535,69.7
"2026","Middle School English Language Arts","Switched within middle school",150,2535,5.9
"2026","Middle School English Language Arts","Moved to secondary",88,2535,3.5
"2026","Middle School English Language Arts","Moved to elementary",111,2535,4.4
"2026","Middle School English Language Arts","Taught a non-core subject",96,2535,3.8
"2026","Middle School English Language Arts","Switcher",83,2535,3.3
"2026","Middle School English Language Arts","Exiter",239,2535,9.4
"2026","Middle School Mathematics","Same MS subject",1536,2182,70.4
"2026","Middle School Mathematics","Switched within middle school",157,2182,7.2
"2026","Middle School Mathematics","Moved to secondary",69,2182,3.2
"2026","Middle School Mathematics","Moved to elementary",74,2182,3.4
"2026","Middle School Mathematics","Taught a non-core subject",64,2182,2.9
"2026","Middle School Mathematics","Switcher",65,2182,3
"2026","Middle School Mathematics","Exiter",217,2182,9.9
"2026","Middle School Science","Same MS subject",1422,2088,68.1
"2026","Middle School Science","Switched within middle school",186,2088,8.9
"2026","Middle School Science","Moved to secondary",77,2088,3.7
"2026","Middle School Science","Moved to elementary",89,2088,4.3
"2026","Middle School Science","Taught a non-core subject",61,2088,2.9
"2026","Middle School Science","Switcher",50,2088,2.4
"2026","Middle School Science","Exiter",203,2088,9.7
"2026","Middle School Social Studies","Same MS subject",1476,2240,65.9
"2026","Middle School Social Studies","Switched within middle school",229,2240,10.2
"2026","Middle School Social Studies","Moved to secondary",78,2240,3.5
"2026","Middle School Social Studies","Moved to elementary",104,2240,4.6
"2026","Middle School Social Studies","Taught a non-core subject",89,2240,4
"2026","Middle School Social Studies","Switcher",69,2240,3.1
"2026","Middle School Social Studies","Exiter",195,2240,8.7
